"name", "basic_info", "cost_info", "stars"
수영 웁스, "사장님 한마디 수영 웁스 모텔에서최대 1만원 할인쿠폰까지 제공합니다!숙소정보 이용안내 꼭 참고해주세요연박이용시 전화로 문의주세요~주차시 문의주세요패밀리 이용시 문의주세요 혜택안내요금할인주차장 정보대형차 또는 탑차는 미리 숙소로 문의 부탁드립니다주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)지하철 정보2호선 수영역3호선 수영역주변 정보수영역 7번출구까지 70m, 도보로 1분거리입니다.광안리 해수욕장까지 2km, 자동차로 3분거리입니다.BEXCO까지 1.5km, 자동차로 3분거리입니다.APEC나루공원까지 812m, 도보로 10분거리입니다.해운대해수욕장까지 5km, 자동차로 10분거리입니다.신세계백화점까지 1km, 자동차로 2분거리입니다.객실내부 시설최고급 주차 타워시설 완비여기어때 X 수영 OOPS 선찬순 1만원 할인쿠폰 EVENT전객실 올레TV세스코 정기점검 진행건물 전체 매일 소독추가 안내사항이용안내환불규정 당일시. 취소 처리 안됨 연박 예약건은 입실일자부터는 중간에 취소 불가체크인시간은 새벽02:00까지입니다. 새벽02:00~오전 09:00까지 카운터콜 안받습니다.성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.미성년자 예약시 입실거부및 취소불가입니다 (민증검사는 필수입니다)저희숙소는 컴퓨터랑tv연결 안됩니다.전객실 pc안됩니다 (리모델링이후가능)객실 이용시 파손물품에 대해 객실 이용자 변상을 원칙으로 하며 구입가격을 변상합니다객실기준인원 초과시 추가비용 부담(인당 1만원입니다.패밀리룸포함) 2인이상인 경우 카운터에 체크하고입실해주세요(노체크및 몰래 들어가는경우 강제퇴실및 환불불가입니다)지나친 소음이나소란,고성,음주로 인한 행패시 다른 손님들의 편안한 휴식을위해강제퇴실되며 이로인한 환불이 불가능합니다퇴실시간 경과이후 자동연장 대실비용으로 처리됩니다 (콜해드리지않습니다)조식은 당분간 안합니다 리모델링이후 가능합니다.선착순 1만원 할인쿠폰 제공!APP으로 예약시 선착순으로 할인쿠폰 사용 가능합니다~!주차타워 완비주차장 이용시 전화주세요여기어때 회원혜택성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.여기어때 회원혜택은 제휴점 내규에 따라 적용됩니다.여기어때 회원혜택은 현금 결제 시 적용됩니다.17:00시 이후대실예약건 입실시 이용시간 3시간입니다.", 20,000, 9.2
수영 메종드센텀, "사장님 한마디 [지점소개]메종 드 센텀 호텔은 원래 낡고 오래된 모텔이었습니다.저희는 모텔을 매입하고, 깔끔한 인테리어, 다양한 컨텐츠, 더 나은 휴식을 위한 아이템들을 더해 새로운 형태의 콘텐츠 호텔로 만들어 가고 있습니다.객실에서는 영화, 플레이스테이션, 음악 등 10종 이상의 컨텐츠를 경험할 수 있고2층에는 잠시 쉬어갈 수 있는, 간편 조리가 가능한 캔틴 공간을 마련해났습니다.또 전문적인 교육을 받은 직원이 체계 잡힌 응대 서비스를 제공하고,여러분이 머무는 공간의 청결 상태를 책임집니다.메종 드 센텀 호텔의 모든 객실에서 OTT 서비스, 크리에이터들의 작품이 담긴 액자,더 나은 휴식을 위해 아늑호텔이 직접 개발한 고이고이 침구류와 어메니티를경험해 보실 수 있습니다. 지원 0TT 서비스 : 넷플릭스 디즈니플러스 유튜브주차장 정보탑차, 튜닝카, 차체가 낮은 차량의 경우 주차장 진입이 불가 하오니 프론트(0517574415)로 문의 주시면 친절히 답변 드리겠습니다.총 6대 주차시설 보유지하철 정보2호선 수영역주변 정보부산 수영역 1도보 1분거리BEXCO까지 1.5Km 자동차로 5분 거리APEC나루공원까지 812m 도보로 10분 거리해운대해수욕장까지 5km 자동차로 10분 거리신세계백화점까지 1Km 자동차로 5분거리객실내부 시설BOOKMUSIC 마샬 스피커로 좋아하는 음악과 함께 책을 읽으며 시간을 보내보세요BUSINESS 일하기 좋은 데스커 책상에서 업무와 창작 활동에 집중해보세요YOGA 안다르 요가 용품과 인센스 스틱이 있는 공간에서 요가로 마음을 비워보세요MASSAGE CHAIR 엠씨스퀘어 안마의자에서 하루의 피로를 풀어보세요STANDARD 아늑함, 청결함, 쾌적함만 남긴 아늑의 스탠다드룸에서 휴식을 즐겨보세요PLAY 플레이스테이션 4로 콘솔 게임을 마음껏 즐겨보세요2 PC 고사양 게이밍 PC 2대로 밤새도록 게임을 즐겨보세요MAKEUP 평소에 사용해 보고 싶었던 스타일링 기기를 체험해보세요MUSIC 하이엔드 제네바 스키퍼와 함께 최상의 음악과 휴식을 경험해보세요프런트 및 그 외 시설Maison de Centum Hotel전 객실 금연 입니다.객실 내부나 화장실에서 흡연 시 청소 비용 부과되며근처 객실에서 흡연 행위에 대한 항의로 인하여 적발 될 시환불 없이 바로 퇴실 조치 되십니다.메종 드 센텀을 찾아주시는 모든 손님들께서 편안히머물다 가시기 위한 호텔 규정입니다미성년자는 이용이 제한되어 입실 시에 신분증을 확인하오니 양해 부탁 드립니다.부모님 동반 아닌 이상 미성년자 분들은 절대 입실 불가기준 인원 초과 시 1인 2만원 발생합니다.최대 인원 외에 절대 입실 불가.(환불불가)유아 동반 시 미리 연락 주세요.남,여가 섞여서 3인 이상은 이용 불가합니다.풍선이벤트하시는경우 (벽지,커튼에 테이프붙이면안됩니다.)객실 내 음식 반입 시 벽지 손상에 주의해 주세요.과도한 손상 시 배상 책임은 고객 님에게 있습니다.무한대실이용시간은 최대시간입니다. 마감시간에 따라 이용시간제한Maison de Centum 연박 이용 시 공지사항 연박 이용 시 평일에는 별도 추가 요금 없습니다. 다만 공휴일 전, 금요일, 토요일, 일요일 연박 이용 시 추가 요금이 발생 되오니확인 부탁 드립니다. 따로 생성한 예약에 대한 유선 혹은 현장 연박 처리 요청 시 이 점 반영이 어려우실 수 있으며, 연박으로 이용을 원하시는 경우에는 예약 처음 생성 시 연박으로 예약을 부탁 드립니다. 체크인 시 따로 생성한 예약에 대한 연박 처리 요청이 불가한 사항으로 인한 환불요청은 승인이 어렵습니다. 연박 이용 시 지정 시간 청소 요청은 불가 합니다. 룸클리닝서비스 : 연박 시 룸클리닝서비스(객실청소)를 무료로 제공해드리며 오후 4시 오후 6시 사이에 진행됩니다.", 30,000, 9.9
광안리 부띠크 호텔 휴, "사장님 한마디 그랜드 오픈! 전객실 침구류 (최고급 푹신한 오리털 이불) 광안리해변 최대규모 외부주차장확보(50대) 미니버스(25인승).냉동탑차.특수차.리무진가능 예약고객3시간전 부터 주차가능 (최대20시간) 혜택안내요금할인주차장 정보외부냉동탑차 주차가능화물차주차가능a미니버스 주차가능 (25인승)입실시간 관계없이 주차는가능합니다(예약 3시간전부터 이용부탁합니다)총 15대 주차시설 보유지하철 정보2호선 광안역2호선 금련산역주변 정보광안리 바다 도보 1분 거리까페거리1분지하철 광안역(2호선 5번출구)도보 8분거리,벡스코,센템,신세계 백화점,영화의전망 ,차량10분거리해운대 해수욕장,더 베이 101,부산 아쿠아리움,해운대시장,이기대 산책로, 차량10분거리태종대,송도케이블,자갈치,남포동,영도 해양박물관 차량 10분거리감천마을,기장 용궁사,서면,부산대학교,차량25분거리객실내부 시설인원추가시 추가요금 발생합니다.연박이용시 평일 추가비용 1일1만원 추가요금발생(월~목)연박이용시 금요일 추가비용 1일2만원 추가요금발생(금요일)연박이용시 토.일.공휴일.공휴일전날 추가비용 1일4만원 추가요금발생연박이용시 프런트 문의 후 결제바랍니다.. (현장결제 시 없습니다)미리예약 어플예약 시 성수기.특정일.연휴.등등 미리예약 시 추가요금발생합니다 (예업체에서 변동하지않아 고객님이 먼저 예약 할 경우 현장에서 당일변동요금 동일하게 지불하셔야 됩니다) 광안점 부띠크 호텔휴에서는 절대 책임이없습니다.고객님들께서도 피해없갈 바랍니다.미리예약 꼭 필요 시 먼저 업체에 문의바랍니다도보특가의 경우 주차가 불가하며 주차요구시 추가 금액이 발생할 수 있습니다.프런트 및 그 외 시설ex)무인 자판기 (현장 무인자판기 이용시 상시할인) (부띠크 호텔 급 제일 싼가격 판매)(광안리 주변)", 35,000, 9.3
광안리 씨유, "혜택안내요금할인주차장 정보 주차는 본관 별관 1층이 전체 주차장이고 차 키를 본관 안내실에 보관해 주시면 됩니다.총 30대 주차시설 보유지하철 정보2호선 광안역2호선 금련산역객실내부 시설본관이 씨유호텔 별관은 맞은 편 미라주 호텔 입니다.프런트 및 그 외 시설 프론트는 본관 씨유호텔 2층입니다. 별관 미라주 손님도 본관 씨유 호텔 2층 안내실에서 체크인 하시고 키를 받으시면 되세요~추가 안내사항입실일 당일 취소 절대 불가", 40,000, 8.8
수영 브라운도트, "주차장 정보일반주차 12대, 장애인주차 1대 가능1객실당 차량 1대 (주차장 만차시 주차 불가)총 13대 주차시설 보유지하철 정보2호선 수영역객실내부 시설주차가능 패밀리룸 24시간데스크 회의룸 해수욕장인근 프랜차이즈 트윈베드 2인PC룸(PC사양은 온라인 게임이 되지 않습니다) 세탁실프런트 및 그 외 시설브라운도트호텔 수영점은 부산 2,3호선 수영역까지 도보 2분거리에있어 편하게 대중교통을 이용 할 수 있으며, 부산의 대표 해수욕장인 광안리가 지하철1정거장 거리에 위치하고있으며, 벡스코 와 수변공원이 인접해있습니다.객실내 무료와이파이 및 PC설치는 물론 직수 정수기를 설치하여 보다 위생적인 음수시설을 제공하고있습니다.또한 출장차 방문하신 고객님의 원활한 비즈니스활동을 돕고자 무료 회의실 및 셀프세탁실 이용이 가능하십니다.저의 호텔은 고객님의 편안한 휴식을 위해 보다 나은 서비스로 고객님을 모시고자 항상 노력하겠습니다.", 20,000, 9.7
수영 스미스호텔, "사장님 한마디 코로나19 관련 공지 저희 호텔은 코로나19 예방을 위해 일 2회 자체방역을 실시하고 있습니다. 프론트 및 엘리베이터내에 손소독제를 비치하고 있습니다. 린넨 1회 사용을 원칙으로 하고 있으며 전 직원 마스크를 착용하고 있습니다.새롭게 리모델링한 부산 수영 호텔 스미스 깔끔 리뉴얼된 숙소로 고객님들께 만족을 드리겠습니다 혜택안내요금할인주차장 정보탑차 예약시 주차관련 문의 부탁 드립니다.(탑차, 카니발, 봉고, 트럭은 사이트 예약 불가숙소문의)문의없이 예약시 주차비 10,000 원 부과주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)지하철 정보2호선 민락역2호선 수영역3호선 수영역주변 정보수영역 9번출구까지 70m, 도보로 1분거리APEC나루공원까지 812m, 도보로 10분거리신세계백화점까지 1Km, 자동차로 2분거리BEXCO까지 1.5Km, 자동차로 3분거리광안리해수욕장, 광안리 민락회센터 차량 5분거리(택시 기본 요금)객실내부 시설전 객실 세스코 완비감각적 인테리어깔끔한 객실 최첨단 시설 완비초특급 무한대실 EVENT 진행중프런트 및 그 외 시설 수영 호텔 스미스 공지사항 프리미엄 룸 이상 예약 고객, 광안탑 주차장 사전주차 가능 (프런트로 꼭 문의 부탁드립니다.)숙박 고객님, 조식 무료제공!팩스, 복사 무료 이용 가능연박 불가환불 규정 (야놀자 동일 적용) 당일 시 , 취소 처리 안됨호텔 스미스에만 있는 (모닝체크인) 입실 시간 04시~16시 (12시간) 숙소에 문의 부탁드립니다. 01083133608추가 안내사항코로나19 관련 공지 저희 호텔은 코로나19 예방을 위해 일 2회 자체방역을 실시하고 있습니다. 프론트 및 엘리베이터내에 손소독제를 비치하고 있습니다. 린넨 1회 사용을 원칙으로 하고 있으며 전 직원 마스크를 착용하고 있습니다.[이벤트객실 이용시간 안내]늦은입실 : 24시 입실13시 퇴실늦은퇴실 : 17시 입실 1시 퇴실빠른입실 : 13시 입실 13시 퇴실빠른입실늦은퇴실 : 13시 입실 17시 퇴실", 30,000, 9.2
수영 호텔리버, "주차장 정보나이스주차장 주차 가능그 외 주차시설 이용시(숙박시) 주차비 지원총 8대 주차시설 보유지하철 정보2호선 수영역3호선 수영역주변 정보지번주소 부산광역시 수영구 광안동 5019광안동 곱창거리 도보 2분, 총 140m수영역까지 도보 5분, 총 300m수영사적공원까지 차량 4분, 총 859m벡스코까지 차량 9분, 총 2.13Km광안리 해수욕장까지 차량 9분, 총 2.15Km수영구청까지 차량 13분, 총 2.99Km객실내부 시설전 객실 넷플릭스 시청 가능전 객실 호텔급 일회용 어매너티 제공전 객실 핸드폰 무선 충전기 대여전 객실 무료 WIFI전객실 금연(쾌적한 환경을 위해 동참해주세요)프런트 및 그 외 시설로비 스넥바 무료 제공 커피,과자,캔커피,쥬스(과수원 사과,오렌지 쥬스)프런트에서 여행 캐리어 보관 가능전자레인지얼음 제빙기추가 생수 무료추가 안내사항금,토,일, 공휴일, 공휴일전날은 연박추가요금이 발생합니다 프런트 문의 부탁드립니다[도보특가] 객실은 연박이 불가 합니다[21시 체크인] 객실은 연박이 불가 합니다[선착순 타임특가] 객실은 연박이 불가 합니다VIP Room 숙박 시 고급 입욕제 제공", 35,000, 9.9
광안리 고유호텔-구.광안리W, "사장님 한마디 안녕하세요. 부산 광안리 w 호텔 지배인입니다.저희 호텔은 한국 고유 감성 한옥 스타일을 추구하는 감성 호텔로2022년 05월 리모델링 오픈하였습니다.해수욕장 바로 앞에 위치하여, 드론축제광안대교 야경 등 광안리의 멋진 풍경을 품고 있으며최상의 어메니티와 최고의 컨디션 유지를 위해 노력하고 있습니다.고객님들의 선택에 최고로 보답하기위해 최선을 다 하겠습니다.감사힙니다. 주차장 정보건물 뒤편 등대 주차장 이용바랍니다!총 20대 주차시설 보유지하철 정보2호선 광안역2호선 금련산역주변 정보광안리해변가 도보 10초수변공원 도보 10분민락회센터 도보 5분센텀시티 차량 10분해운대 해변가 차량 15분광안리 다양한맛집 카페등 초인근위치!객실내부 시설해수욕장 바로 앞와이파이빔 프로젝터밤하늘을 품은 테라스광안대교를 안은 오션뷰추가 안내사항분신물 발생시 1주일 내로 연락이 안될경우 해당물건엔 대해 책임지지 않습니다.모든객실은 2인 기준이며 인원추가시 별도비용이 발생할 수 있습니다.", 20,000, 9.7
광안리 호텔 야자, "사장님 한마디 YAJA 광안리점 서비스 리뉴얼 안녕하세요 YAJA 광안리점입니다 YAJA 광안지점의 대표자가 변경됨에 따라 다양한 서비스를 추가로 제공중입니다.더욱 새로워진 모습으로 고객님들을 기다리겠습니다. 전 객실 무료 넷플릭스 공기청정기, 고데기 준비 완료음료 및 아이스크림 제공기간 2021.04. 19. ~ 12. 31. 주차장 정보숙박 및 대실 예약 시간 전 주차시 카운터로 문의 바랍니다.숙박 및 대실 퇴실 후 잠깐동안 주차시 카운터로 문의 바랍니다.객실당 차량은 1대만 주차가능 합니다. 2대 불가능총 15대 주차시설 보유지하철 정보2호선 광안역2호선 민락역주변 정보광안리 해수욕장 100m 도보 1분벡스코 1.5Km 도보 15분 자동차 5분해운대 해수욕장 4Km 자동차 15분민락회센터 타운 100m 도보 1분부산수변공원 900m 도보 10분광안비치랜드 250m 도보 4분부산 MBC 400m 도보 6분신세계백화점 1.5Km 도보 15분 자동차 5분영화의전당 1.5km 도보 15분 자동차 5분객실내부 시설 끈김없는 와이파이 민락회타운, 맛집거리 코 앞 광안리 바닷가 도보 2분 광안 비치랜드 도보 4분전 객실 금연프런트 및 그 외 시설모든 객실은 2인기준 요금이며 인원추가는 가능하나 음주 소란행위시 환불없이 퇴실조치 합니다.인원 추가 1인 15.000원 입니다.퇴실 연장 시 시간당 1만원 자동부과됩니다.자정이후 음주 소란행위 삼가해주시기 바랍니다.(타객실 항의 요청시 환불없는 강제퇴실조치 되오니 이점 숙지 하시길 바랍니다.)객실 슬리퍼는 객실이외 신고 다닐수 없습니다(외출시 객실 슬리퍼 착용시 변상조치됨을 알려드립니다.)애완동물 동반 입실 불가함을 알려드립니다.객실 내 취사행위 적발시 환불없이 즉시 퇴실됨을 알려드립니다.연박 객실의 청소의 경우는 고객의 요청이 있을 시 해 드립니다.위 사항에 해당하는 고객의 부주의한 행동으로 본 점에 해가 될 경우 변상조치됨을 알려드립니다.", 25,000, 9.7
광안리 호텔 망고, "혜택안내요금할인주차장 정보총 15대 주차시설 보유지하철 정보2호선 광안역2호선 금련산역주변 정보광안리 해수욕장까지 도보 10초거리 위치금련산역까지 도보 7분거리 위치광안역까지 도보 10분거리 위치민락 회 센터까지 도보 13분거리 위치수변공원까지 도보 15분거리 위치객실내부 시설최고급 침대와 비품전객실 넷플릭스 무료이용고사양 PC(노하드 PC방 시스템)전객실 스타일러 완비전객실 스마트TV 구비전객실 금연룸프런트 및 그 외 시설로비에서 커피 제공추가 안내사항추가 인원 및 연박 관련 안내추가인원 발생 시 1인당 1만원의 별도 추가요금이 발생합니다.(자세한 사항은 프런트로 문의)연박 이용시 (주말,성수기,공휴일)에는 추가비가 있습니다.(프런트로 문의)차량방문 고객님차키는 반드시 프런트에 맡겨주세요.차량은 부득이 하게 이동할 수 있습니다. 양해바랍니다.차량 방문 시 한 객실당 한대만 주차 가능합니다.객실 사용 안내해수욕장 이용하신 분은 후문 입구 샤워기가 비치되어 있습니다.모래를 씻고 난 후 물기를 제거한 뒤 입실해주세요(수건은 프런트로 문의 바랍니다)해수욕장 이용 고객님은 (여름철) 대실사용이 되지 않습니다.미성년자 출입금지(신분증 미 소지시 미성년자로 인정하며 싸이트 예약자는 환불 취소가 되지 않습니다.", 30,000, 9.4
