"name", "basic_info", "cost_info", "avg_stars"
부산 광안리 와바클래식, "이용안내부산 광안리 WABA 객실 안내전 객실 WiFiKT TV(VOD) 설치NETFLIX 무료시청(넷플릭스룸에 한함)24시간 발렛주차가능(넓은 WABA호텔 전용 주차장)일부 객실 월풀욕조 보유일부 객실 영화 프로젝트 대형스크린프렌차이즈 카페, 음식점이 아닌 찐! 맛집들이 인근에 있습니다.[ 톤쇼우 Etalee 요이쿠마 디에이블 등 ]부산 광안리 WABA 이용 안내객실 호수 및 디자인은 호텔 운영 상황에 따라 랜덤 배정됩니다.상기 이미지의 객실 예약을 원하실 경우, 프런트로 문의 부탁 드립니다.퇴실 시간 초과 시 추가 요금이 자동 부과될 수 있습니다.이용하시는 객실 타입에 따라 퇴실 시간이 상이 할 수 있습니다. 입실시 기준 인원은 2인이며, 추가 인원시 현장에서 추가요금 결제됨을 알려드립니다.비치 된 모든 물품의 도난, 훼손 또는 오염 시 손해 배상 및 세탁비를 청구합니다.성수기 및 특정일, 공휴일(전일 포함)에는 요금변동이 있을 수 있습니다.부산 광안리 WABA 객실이용 공지사항체크인 전, 체크아웃 이후, 프런트에 짐 보관하여 드립니다.스탠다드 객실은 3가지 타입의 룸을 랜덤 배정합니다.고데기, 여분의 충전기는 프런트에서 무료로 대여해드립니다. (퇴실하실 때 반납)월플 스파가 있는 객실은 프리미엄 및 파티룸입니다.스탠다드 객실은 일반 욕조가 있습니다.객실 요금은 패밀리룸(4인기준, 최대8인)을 제외한 전 객실 2인기준 가격입니다.세미룸은 2인전용룸이며, 객실요금을 추가하시더라도 추가인원은 입실 불가합니다.부산 광안리 WABA 미성년자 이용 제한 안미성년자는 이용 및 혼숙이 제한됩니다.미성년자는 부모님이 동반 하에 입실 가능합니다.입실 시 신분증 미지참으로 인해 이용 제한이 있을 수 있으며 이로 인한 환불은 불가합니다.부산 광안리 WABA 소음 안내밤 12시 이후부터는 이용하시는 모든 고객님들을 위해꼭 소음 관련 주의 부탁 드립니다.주변 객실에 피해를 주지 않도록 서로 배려와 협조 부탁드립니다.부산 광안리 WABA 오시는 길주소 :부산광역시 수영구 광안해변로279번길 30 광안리 해수욕장에서 150M, 도보 3분거리 민락 회센터 타운에서 30m. 도보 1분거리 부산 수변공원에서 500m, 도보 8분거리 마린랜드에서 50m, 도보 1분거리 광안비치랜드까지 250m, 도보로 4분거리부산 광안리 WABA 후기야놀자 APP, WEB에서 투숙하셨던 후기를 남겨주시면 야놀자 포인트 적립이 가능합니다.(포토후기는 사랑입니다)숙소 소개야놀자 회원 선정 우수 제휴점[2022년 여름 성수기 예약 상위 업체]", 30,000원~, 4.7
부산 광안리 호텔 망고, "이용안내망고 즉시할인쿠폰을 사용해보세요!(쿠폰함에서)추가 인원 및 연박 관련 안내추가인원 발생시 1인당 1만원의 별도 추가요금이 발생합니다.(자세한 사항은 프런트로 문의)연박 이용 시(주말,성수기,공휴일) 에는 추가비가 있습니다.(자세한 사항은 프런트로 문의)차량 방문 고객님차키는 반드시 프런트에 맡겨주세요.차량은 부득이하게 이동할 수 있습니다. 양해바랍니다.차량 방문 시 한 객실 당 한대만 주차 가능합니다.객실 사용 안내해수욕장 이용하신 분은 후문 입구 샤워기가 비치되어 있습니다.모래를 씻고 난 후 물기를 제거한 뒤 입실해주세요. (수건은 프런트로 문의바랍니다.)해수욕장 이용 고객님은 (여름철) 대실 사용이 되지 않습니다.환불규정7일전(100% 환불)5일전(80% 환불)2일전(50% 환불)하루 전, 당일(환불불가)사이트 환불 규정에 따릅니다.미성년자 출입금지 (신분증 미소지시 미성년자로 인정하며 사이트 예약자는 환불, 취소가 되지 않습니다.)야놀자 회원혜택성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.숙소 소개광안리 해수욕장 정 중앙에 위치한 부띠크 호텔 망고에서 행복한 추억거리를 만드세요.넓고 깨끗한 망고에서 행복가득한 하루를~", 30,000원~, 4.8
부산 수영 브라운도트 수영점, "이용안내성수기 및 연휴요금 별도문의이용안내스위트객실(4인기준)을 제외한 전 객실이 2인기준이며(최대3인), 1인 추가 시 1만원의 추가요금이 발생합니다. 추가인원에 대해서는 꼭 지점으로 문의 주시기 바랍니다. 주차는 1객실당 1대까지만 가능합니다.야놀자 브랜드 호텔브라운도트 수영점은 야놀자 브랜드 호텔입니다.브라운도트 수영점은 투숙하시는 동안 편안한 휴식을 즐기실 수 있도록 감동을 더해드립니다. 현대적이고 세련된 디자인의 객실과 편안한 잠자리를 느껴보세요.미성년자 이용 제한 안내미성년자의 입실 가능 여부는 직접 호텔에 확인 후 예약 진행하시기 바랍니다.미성년자는 출입에 제한을 받을 수 있습니다.입실시 신분증 확인하오니 양해 부탁드립니다.이용시간 및 예약문의 안내체크인 시간 및 체크아웃 시간 예약 및 문의사항은 프런트로 전화 부탁드립니다.객실은 현장 배정 입니다. 객실 타입 문의시 전화 부탁드립니다.야놀자 회원 안내브라운도트 수영점을 이용 하는 방법브라운도트호텔 수영점은 부산 2,3호선 수영역까지 도보 2분거리에있어 편하게 대중교통을 이용 할 수 있으며부산의 대표 해수욕장인 광안리가 지하철1정거장 거리에 위치하고있으며, 벡스코 와 수변공원이 인접해있습니다.객실내 무료와이파이 및 PC설치는 물론 직수 정수기를 설치하여 보다 위생적인 음수시설을 제공하고있습니다.또한 출장차 방문하신 고객님의 원활한 비즈니스활동을 돕고자 무료 회의실 및 셀프세탁실 이용이 가능하며,저의 호텔은 고객님의 편안한 휴식을 위해 보다 나은 서비스로 고객님을 모시고자 항상 노력하겠습니다.수영역 5번 출구까지 70m 도보로 1분 거리BEXCO까지 1.5Km 자동차로 3분 거리APEC나루공원까지 812m 도보로 10분 거리해운대해수욕장까지 5km 자동차로 10분 거리신세계백화점까지 1Km 자동차로 2분 거리야놀자 포인트를 얻을 수 있는 찬스야놀자 앱을 통해 미리예약시, 2%의 포인트를 적립해드립니다.야놀자 바른후기 작성시, 0.5%의 포인트를 적립해 드립니다.성수기, 공휴일 이용안내성수기 및 특정일, 공휴일(전일 포함)에는 요금변동이 있을 수 있습니다.자세한 사항은 프런트로 전화 부탁드립니다.이용시간 및 예약문의 안내브라운도트 수영점의 예약규정은 호텔 내부에 따라 적용됩니다.입실시간이 늦어지는 경우 프런트로 전화 부탁드립니다.숙소 소개[yanolja Brand Hotel브라운도트 수영점]수영역에서 도보 2분 거리에 위치한 감성적인 부티크 공간.연인들을 위한 2인 객실은 물론 단체객들을 위한 스위트룸까지 다양한 객실타입이 준비되어 있어요.특히, 스위트룸의 경우 고급 호텔의 레지던스룸에 버금가는 컨디션이라 인기가 많죠.출장객 또한 이곳을 많이 선호하시는데요. 호텔 내 위치한 무료 회의실 대여는 물론 셀프 세탁실까지 완비되어 있기 때문이랍니다.일상에서 벗어나 감성을 자극하는 도심 속 디자인 호텔 부라운도트 수영점.합리적인 가격에 5성급 호텔의 컨디션을 누려보세요.에디터 TIP1. 전 객실 내 직수 정수기 완비2. 전 객실 내 핸드폰 충전기 완비", 40,000원~, 4.6
부산 광안리 호텔 메종, "이용안내전화예약환불규정 안내입실 3일전 전액 환불입실 2일전 1박 요금 80% 환불입실 1일전 1박 요금 50% 환불입실 당일 환불 불가합니다.넷플릭스 관련 공지본인 id 로 넷플릭스 시청이 가능합니다 .당일취소는 취소 규정상 불가당일취소는 취소 규정상 불가능하니 예약시 확인 부탁드립니다. 자세한 사항은 프론트로 문의 부탁드립니다.기본규정7일전(100% 환불)5일전(80% 환불)2일전(50% 환불)하루 전, 당일(환불불가)당일취소는 취소 규정상 불가능하니 예약 시 확인 부탁드립니다.자세한 사항은 프런트로 문의 부탁드립니다.야놀자 회원혜택성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.미성년자 및 혼숙 예약으로 인한 입실 거부는 취소 및 환불 불가합니다.공지사항객실 이용 요금은 2인 입실 기준입니다.추가 인원은 1인당 1만원 추가요금 발생합니다.기본 퇴실 시간 이후의 퇴실은 1시간 당 1만원의 추가요금이 부과됩니다.투숙 시 다른 고객님에게 민폐가 되는 행동 또는 비매너적 행동을 할 경우 환불없이 강제 퇴실조치 진행됩니다.숙소 소개야놀자 회원 선정 우수 제휴점[2022년 여름 성수기 예약 상위 업체]프랑스어로 집 이라는 이름처럼 내집 같이 아늑하게 머물 수 있는 공간을 제공합니다.편안한 시간, 호텔 같은 고급스러움을 만끽 할 수 있습니다.심플하고, 깨끗한 화이트톤 인테리어와 국민안전처에서 지정한 내진설계 하였습니다.세스코(CESCO) 에어 제닉 설치 업소입니다.", 20,000원~, 4.6
부산 수영 OOPS 호텔, "이용안내이용안내환불규정 당일시. 취소 처리 안됨 연박 예약건은 입실일자부터는 중간에 취소 불가체크인시간은 새벽02:00까지입니다. 새벽02:00~오전 09:00까지 카운터콜 안받습니다. 성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.미성년자 예약시 입실거부및 취소불가입니다 저희숙소는컴퓨터랑tv연결및 ott안됩니다.전객실 pc안됩니다객실 이용시 파손물품에 대해 객실 이용자 변상을 원칙으로 하며 구입가격을 변상합니다객실기준인원 초과시 추가비용 부담(인당 1만원입니다.패밀리룸포함) 2인이상인 경우 카운터에 체크하고입실해주세요(노체크및 몰래 들어가는경우 강제퇴실및 환불불가입니다)지나친 소음이나소란,고성,음주로 인한 행패시 다른 손님들의 편안한 휴식을위해강제퇴실되며 이로인한 환불이 불가능합니다퇴실시간 경과이후 자동연장 대실비용으로 처리됩니다 (콜해드리지않습니다)조식은 당분간 안합니다 패밀리 이용시문의주세요연박시 문의해주세요 선착순 1만원 할인쿠폰 제공!APP으로 예약시 선착순으로 할인쿠폰 사용 가능합니다~!주차타워 완비주차장 이용시 전화주세요대형및 탑차경우 사전에 꼭연락해주세요야놀자 회원혜택성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.야놀자 회원혜택은 현금 결제 시 적용됩니다.17:00시 이후대실예약건 입실시 이용시간 3시간입니다.숙소 소개수영 웁스 모텔에서최대 1만원 할인쿠폰까지 제공합니다! ", 20,000원~, 4.2
부산 광안리 호텔 마린뷰, "이용안내주차 정보차량 객실당 1대 무료 그 외 추가 차량 1대당 만원 입니다기본정보기준 인원 2인 최대 인 (기준 인원 초과시 추가 1인당 20,000원)삼성 에어드레서,삼성 시스템 에어컨, TV, 냉장고, 커피포트, 생수샤워기, 욕실용품, 수건, 드라이기, 가운, 슬리퍼, 금고, 옷걸이", 65,000원~, 4.9
부산 광안리 누리 호텔, "이용안내광안리 누리 즉시할인쿠폰을 확인하세요매일 야놀자에서 제공되는 즉시 할인 쿠폰을 확인하세요!부산광역시 모범 숙박업소선정차량 소지 방문고객 필독감사합니다 고객님 누리호텔입니다.차량으로 방문하시는 고객분들에게 전달드립니다.1. 차량의 차키는 반드시 프런트에 맡겨주세요.2. 차량은 부득이하게 이동할수 있는 점 양해부탁드립니다.3. 차량으로 방문하실때는 1객실당 한대만 주차가 가능한 점 양해부탁드립니다.기본규정해수욕장(바닷가)이용 고객님은 (성수기)대실사용 불가합니다 해수욕장 이용시(성수기) 1F 주차장 옆 공간에 샤워기 비치 되어있습니다. 모래를 다 씻고난후 물기를 훔친 뒤 입실 가능하십니다. (수건이 없을시에는 프런트로 문의해주세요)환불규정 및 운영규칙사이트 환불규정이 적용됩니다.1일 전, 당일은 환불 불가입니다.[운영규칙]미성년자 절대 출입금지(신분증 미 소지시 미성년자로 인정하며 사이트예약자는 취소,환불불가합니다)연박이용시에는 (주말,성수기,공휴일)에는 연박추가비가 따로있으니 프론트에 문의 부탁드립니다. 빠른 체크인의 경우 당일 룸 컨디션에 따라 가능여부가 달라지며 객실이 준비되어 있지 않을 경우 어려울 수 있습니다. 미리 전화 문의 부탁드립니다.야놀자 회원혜택성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.숙소 소개그랜드오픈최고의 시설,깨끗한 침구,프리미엄룸 욕실배드,전객실 욕조월풀대실 마일리지적립발렛파킹서비스많은 이용바랍니다선착순 할인쿠폰 최대 1만원 광안리 해수욕장 바로 앞로비에 간단한 간식과 최고급 아메리카노 커피제공충분한 주차공간 확보 자세한 사항은 프론트로 문의 부탁드립니다.", 25,000원~, 4.7
부산 광안리 투헤븐, "이용안내환불규정7일전(100% 환불)5일전(80% 환불)2일전(50% 환불)하루 전, 당일(환불불가)사이트 환불 규정에 따릅니다.미성년자 출입금지 (신분증 미소지시 미성년자로 인정하며 사이트 예약자는 환불, 취소가 되지 않습니다.)코로나 대비 소독 안내광안리 투헤븐은 고객님의 안전을 위해 손소독제 비치, 매일 객실 소독을 진행하고 있습니다~전객실넷플릭스가능객실 예약요금은 2인기준 요금입니다. 추가인원 입실시 현장에서 1인당 1만원 추가비용 발생됩니다.자세한 사항은 프론트로 문의 부탁드립니다.더욱더 좋은 서비스를 제공해 드리는 투헤븐 호텔이 되겠습니다.야놀자 회원혜택성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다. 전객실 WiFi 사용가능 금연객실객실내금연성수기 연박 규정 안내성수기 기간 연박 고객님은 현장에서 추가금이 발생할 수 있습니다.프론트에 문의 하시기 바랍니다.", 30,000원~, 4.4
부산 광안리 오션 더 포인트 호텔, "이용안내안내사항체크인 시 본인 실물 신분증(사진필수) 확인을 진행합니다. 프론트 대여 및 제공 가능 품목대여 ) 넷플릭스 전용 리모컨(65인치 TV 설치 객실에 한함), 고데기, 손톱깎이, 와인오프너, 와인잔 대여 하실 때 신분증 맡겨주시고, 체크아웃 하실 때에 돌려드리고 있습니다제공 ) 일회용 3M 귀마개, 구급약, 종이컵, 나무젓가락, 일회용숟가락 인원 및 체크인,체크아웃 시간 추가 비용1인 추가시 1박당 성인 30,000원 현장결제 (초등학생 20,000원 미취학아동 무료) 3인 및 4인 숙박 시 예약 전 호텔로 문의 부탁드립니다. 모든 객실은 2인 기준이며 인원 추가시 현장에서 추가금이 발생됩니다.빠른 체크인 : 시간당 10,000원 현장결제 늦은 체크아웃1시간 : 20,000원 현장결제3시간 : 40,000원 현장결제빠른 체크인의 경우 당일 룸 컨디션에 따라 가능여부가 달라지며 객실이 준비되어 있지 않을 경우 어려울 수 있습니다. 미리 전화 문의 부탁드립니다. 조식 안내조식 이용 시간 : 08:00 ~ 09:301인 평일(월금):10,000원 주말(토,일) : 15,000원 ~36개월 아동 : 무료 24시간 OPEN 오션 더 포인트 라운지파노라마오션뷰 오션뷰맛집 24시간운영8층 라운지에서 스타 블렌드 원두 커피를 언제든 원하실 때 드실 수 있습니다 인원추가 어매니티 세팅 안내 미리 연락을 주시면 객실 내 인원수만큼 어매니티 세팅이 가능합니다.(당일예약 제외)사전 연락없이 체크인 시에는 프론트에서 어매니티 세트를 준비해드리고 있습니다. 예약 문의 안내 오션 더 포인트 예약 관련 문의 시간 : 오전 9시 ~ 오후 2시투숙가능여부, 예약확인, 오시는 길 확인 등 간단한 안내는 24시간 운영되는 프론트에서 전화를 통해 안내드리고 있으니 언제든 편히 문의 부탁드립니다. 연박 관련 안내저희 호텔방침은 외부인 감염관련 및 세제 사용 줄이기 캠페인 참여를 위해 2박시 청소 스태프가 객실에 들어가지 않도록 하고 있습니다. 분실물 안내분실물은 습득 시 습득일로부터 30일까지 보관하며 이 후 폐기처분합니다.고객님 요청시 택배 발송(착불 혹은 택배 신청시 고객님께서 선불 결제), 직접 수령이 가능하시며 택배의 경우 고객님께서 택배사에 직접 신청하셔서 택배 기사님이 오실 경우에만 가능합니다. (개인정보 보호를 위해 고객님께서 직접 신청시에만 택배 발송이 가능한 점 양해부탁드립니다.) 전 객실 금연객실 내부에서는 흡연이 금지되어 있습니다.건물 8층 라운지 옆 테라스에서 탁 트인 오션뷰를 보시며 흡연이 가능하니 번거로우시더라도 흡연구역 많은 이용 부탁드립니다 반려견 동반 입실은 프론트 문의반려견 동반 입실을 원하시면 이용방법 및 추가요금은 프론트로 문의주세요. 랜덤 객실 안내핫 세일 시티 랜덤, 핫 세일 오션 랜덤 객실은 당일 체크인 시 랜덤 배정되는 객실입니다. 객실 지정 및 요청이 불가능하며 오션객실의 경우 창가쪽에 기둥이 있을 수 있는 점 안내드립니다. 주차장 이용 안내 오션브릿지 건물 전용 지하주차장에 주차 후 프론트에 차량번호를 적어주시면 차량 등록이 완료됩니다. (1회 등록시 투숙하는 기간 동안 입출차를 계속 하여도 비용이 발생하지 않습니다.)주말 특정 시간대에는 지하주차장 이용량이 많아 주차가 어려우실 수 있으며, 이 경우 외부 무료주차 도움을 드릴 수 없는 점 양해 부탁드립니다. (지하주차장 내부 주차타워 이용가능)차량 이용 시 CU 광안오션점을 검색하신 후 방문 해 주시면 주차장 입구를 보다 편하게 찾으실 수 있습니다. (CU 바로 옆 주차장 입구 위치)외부음식 및 배달 음식 이용 안내저희 오션 더 포인트는 객실 보안 유지를 위해 배달 기사님이 중문을 넘어 객실 앞까지 들어오지 못하도록 되어 있습니다. 배달 주문 시 엘리베이터 앞에서 수령해 주시면 감사드립니다. 셀프 세탁실 운영 안내 (세탁기,건조기)8층에 셀프로 세탁과 건조를 할 수 있는 세탁실이 마련되어 있습니다.세제와 섬유유연제는 프론트에 편히 문의 주시면 준비해 드리겠습니다. 애견객실 안내1객실예약을 위해 동반하는 견종 및 키로수 기재를 부탁드립니다.8kg이하 길들여진 애견 1마리 동반 입실가능(1마리 초과 투숙시 3만원 요금발생)강아지를 혼자 객실에 두고는 외출이 불가하며, 이로인해 주변객실에서 강아지 짖는 소음으로 인한 컴플레인 발생시, 환불없이 퇴실 조치 됩니다.또한 고객과의 연락불가로 강아지가 혼자 객실에서 계속 짖는 경우 사전고지 없이 관할 애견보호소로 이동 될수 있으며 시간당 별도의 요금이 부과됩니다. 애견객실 안내2퇴실전 배설물을 수거하는 펫티켓을 지켜주시고 그렇지 않을시 별도의 청소비가 부과됩니다. (반려견 배설물 수거는 동물보호법 제13조에 명시된 의무사항입니다)5대접종 2년내 광견병 접종이 되어 있어야 합니다.반려견과 호텔내부 이동시 고객이 직접 안거나 케이지 필수 입니다.보호자의 부주의로 인한 사고 및 반려견 실종에 대하여 호텔과 직원은 책임이 없습니다.반려견이 호텔 침구나 카페트 등에 배변을 하였을 경우, 별도의 세탁비가 청구됩니다. (베게 3만 커텐 8만 카페트.이불 12만) 짐 보관 서비스체크인 시간 이전 당일 12시부터 그리고 체크아웃 시간 이후 당일 16시까지 프론트에서 언제든지 짐보관 서비스 이용 가능하십니다.숙소 소개야놀자 회원 선정 우수 제휴점광안대교가 한 눈에 보이는 광안리 더 포인트 호텔!바닷가가 한 눈에 보이는 라운지바로앞 도보 1분 거리로 광안리해수욕장에서 최상의 위치를 자부합니다.야놀자 X 더 포인트 선착순 1만원 쿠폰 EVENT(APP 결제시 즉시할인)", 57,000원~, 4.7
부산 광안리 호텔 오션뷰, "이용안내객실키 분실시 패널티가 부과됩니다조식 운영(08:00 ~ 09:00)토스트, 유기농 롤빵, 우유, 고급원두커피 등조식 불포함 상품은 조식 이용에 제한이 되는점 참고 부탁드립니다.편의사항1314층 로비 스타일러 구비 무료 WIFI(출장인 개인정보 보호차원 각 객실 비번 이용 가능)14층 비지니스실 운영 (데스크탑팩스 구비)무료주차시설 : 지하 1층 2층 주차(총 150대 주차공간 및 주차타워 가동)족욕기 : 테라스 오션더블 과 로얄 테라스 오션더블 객실만 사용 가능하며, 숙소측으로 사전예약 부탁드립니다.찾아오시는길민락동 회타운 앞 바닷가쪽으로 30M쯤 오션브릿지 쌍둥이 건물 1층 cu편의점과 수정궁 사잇길 출입구를 이용하여 건물 지하 주차장과 연결되어 있습니다.주차후 B동 13층으로 엘리베이터를 이용하시면 됩니다.(문의전화 0517552777)야놀자 회원혜택성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.Hotel Ocean View 공지사항[취소 및 환불규정] 환불규정입실 3일전 전액 환불입실 2일전 1박 요금 80% 환불입실 1일전 1박요금 50% 환불입실 당일 환불 불가단순 변심이나 객실뷰로 인한 환불이나 취소는 불가합니다.입실 NOSHOW 환불불가객실은 체크인시 랜덤배정되며 사진과 약간 다를수도 있습니다.남여 혼숙 3인이상 금지기준인원 외 추가인원 1인당 3만원(조식비용 포함)미성년자 보호자와 동반시 투숙가능(5세미만 아동 무료입실)미성년자 예약으로 인해 발생하는 입실거부, 취소, 환불 불가합니다.(체크인시 신분증 확인이 있을 수 있습니다.)모든 객실은 금연 입니다.(건물자체 금연 건물입니다.)흡연하시는분은 객실 예약시 테라스룸을 이용하시거나 14층 테라스 흡연구역을 이용하시면 됩니다.객실이용시 파손(도난) 물품에 대해서는 객실이용자 변상을 원칙으로 하며, 구입가격으로 변상합니다.(객실입실 사전 점검 후 입실원칙으로 합니다.)주변안내부산민락회센터까지 30m, 도보로 1분거리 부산 광안리 해수욕장까지 30m, 도보로 1분거리 민락수변공원 1km 도보로 10분 거리광안지하철역까지 1.4km, 자동차로 3분 거리해운대누리마루(동백섬)까지 자동차 10분거리숙소 소개광안리 NO.1 오션뷰를 품은 호텔 오션뷰입니다.(광안리 오션브릿지 빌딩 B동 13층)2성급 호텔 오션뷰부산 광안대교가 한눈에 펼쳐저 보이는 OCEAN VIEW HOTEL 입니다.13층에서 바라보면 확 트인 높은뷰로 환상의 뷰를 느껴보실 수 있습니다.객실 특유의 냄새가 나지않도록 장시간 문을 개방하여 환기와 청결유지에 모든 전직원이 힘쓰고 있습니다.바닷가에 위치하여 예쁜 카페와 맛집을 즐길 수 있는 최상의 조건으로 잊지못할 즐거운 추억을 만들어보세요.저희 호텔을 찾아주시는 모든 고객님들께 감사의 마음을 전하며 항상 최상의 서비스와 친절로 보답할것을 약속합니다.감사합니다.", 30,000원~, 4.5
